Rank,Type,URL,Label
1,Core page,https://verdetalent.com/,Homepage
2,Core page,https://verdetalent.com/jobs.html,Job Search
3,Core page,https://verdetalent.com/browse.html,Browse by Location (index)
4,Core page,https://verdetalent.com/companies.html,Companies Directory
5,Core page,https://verdetalent.com/resume-vault.html,Resume Vault (employer product)
6,Core page,https://verdetalent.com/intelligence.html,Intelligence (employer product)
7,Core page,https://verdetalent.com/news.html,News
8,Core page,https://verdetalent.com/professional-development.html,Training
9,Core page,https://verdetalent.com/about.html,About
10,Core page,https://verdetalent.com/create-profile.html,Create Candidate Profile
11,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-california.html,California - 163 jobs
12,Hub page (sector+state),https://verdetalent.com/browse/hydrogen-jobs-in-california.html,California - 121 jobs
13,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-ohio.html,Ohio - 102 jobs
14,Hub page (sector+state),https://verdetalent.com/browse/battery-storage-jobs-in-nevada.html,Nevada - 96 jobs
15,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-massachusetts.html,Massachusetts - 81 jobs
16,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-delaware.html,Delaware - 60 jobs
17,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-alabama.html,Alabama - 53 jobs
18,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-texas.html,Texas - 49 jobs
19,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-louisiana.html,Louisiana - 48 jobs
20,Hub page (sector+state),https://verdetalent.com/browse/hydrogen-jobs-in-delaware.html,Delaware - 46 jobs
21,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-texas.html,Texas - 46 jobs
22,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-illinois.html,Illinois - 44 jobs
23,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-south-carolina.html,South Carolina - 33 jobs
24,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-connecticut.html,Connecticut - 30 jobs
25,Hub page (sector+state),https://verdetalent.com/browse/battery-storage-jobs-in-texas.html,Texas - 23 jobs
26,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-massachusetts.html,Massachusetts - 20 jobs
27,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-hawaii.html,Hawaii - 19 jobs
28,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-colorado.html,Colorado - 19 jobs
29,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-indiana.html,Indiana - 19 jobs
30,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-indiana.html,Indiana - 15 jobs
31,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-arizona.html,Arizona - 14 jobs
32,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-iowa.html,Iowa - 14 jobs
33,Hub page (sector+state),https://verdetalent.com/browse/ev-jobs-in-california.html,California - 13 jobs
34,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-new-york.html,New York - 12 jobs
35,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-new-jersey.html,New Jersey - 12 jobs
36,Hub page (sector+state),https://verdetalent.com/browse/battery-storage-jobs-in-virginia.html,Virginia - 12 jobs
37,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-nevada.html,Nevada - 11 jobs
38,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-new-york.html,New York - 11 jobs
39,Hub page (sector+state),https://verdetalent.com/browse/sustainability-jobs-in-texas.html,Texas - 10 jobs
40,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-california.html,California - 9 jobs
41,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-colorado.html,Colorado - 9 jobs
42,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-florida.html,Florida - 9 jobs
43,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-wyoming.html,Wyoming - 9 jobs
44,Hub page (sector+state),https://verdetalent.com/browse/ev-jobs-in-indiana.html,Indiana - 7 jobs
45,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-minnesota.html,Minnesota - 7 jobs
46,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-new-hampshire.html,New Hampshire - 7 jobs
47,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-north-carolina.html,North Carolina - 7 jobs
48,Hub page (sector+state),https://verdetalent.com/browse/battery-storage-jobs-in-south-carolina.html,South Carolina - 7 jobs
49,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-illinois.html,Illinois - 7 jobs
50,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-oklahoma.html,Oklahoma - 7 jobs
51,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-oregon.html,Oregon - 7 jobs
52,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-maryland.html,Maryland - 6 jobs
53,Hub page (sector+state),https://verdetalent.com/browse/battery-storage-jobs-in-georgia.html,Georgia - 6 jobs
54,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-new-mexico.html,New Mexico - 6 jobs
55,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-illinois.html,Illinois - 5 jobs
56,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-maine.html,Maine - 5 jobs
57,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-texas.html,Texas - 5 jobs
58,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-connecticut.html,Connecticut - 5 jobs
59,Hub page (sector+state),https://verdetalent.com/browse/sustainability-jobs-in-utah.html,Utah - 5 jobs
60,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-california.html,California - 5 jobs
61,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-colorado.html,Colorado - 4 jobs
62,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-utah.html,Utah - 4 jobs
63,Hub page (sector+state),https://verdetalent.com/browse/battery-storage-jobs-in-florida.html,Florida - 4 jobs
64,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-arizona.html,Arizona - 4 jobs
65,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-missouri.html,Missouri - 4 jobs
66,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-north-dakota.html,North Dakota - 4 jobs
67,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-pennsylvania.html,Pennsylvania - 4 jobs
68,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-florida.html,Florida - 3 jobs
69,Hub page (sector+state),https://verdetalent.com/browse/grid-jobs-in-ohio.html,Ohio - 3 jobs
70,Hub page (sector+state),https://verdetalent.com/browse/policy-jobs-in-minnesota.html,Minnesota - 3 jobs
71,Hub page (sector+state),https://verdetalent.com/browse/solar-jobs-in-virginia.html,Virginia - 3 jobs
72,Hub page (sector+state),https://verdetalent.com/browse/battery-storage-jobs-in-illinois.html,Illinois - 3 jobs
73,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-florida.html,Florida - 3 jobs
74,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-kansas.html,Kansas - 3 jobs
75,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-minnesota.html,Minnesota - 3 jobs
76,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-montana.html,Montana - 3 jobs
77,Hub page (sector+state),https://verdetalent.com/browse/wind-jobs-in-washington.html,Washington - 3 jobs
78,Hub page (sector+category+state),https://verdetalent.com/browse/solar-engineering-jobs-in-ohio.html,Engineering in Ohio - 52 jobs
79,Hub page (sector+category+state),https://verdetalent.com/browse/solar-sales-jobs-in-california.html,Sales in California - 49 jobs
80,Hub page (sector+category+state),https://verdetalent.com/browse/hydrogen-engineering-jobs-in-california.html,Engineering in California - 43 jobs
